station_name,fmisid,latitude,longitude
Inari Raja-Jooseppi Kontiojärvi,102008,68.47055,28.31572
Inari Raja-Jooseppi,102009,68.478,28.30123
Salla Värriötunturi,102012,67.74858,29.61132
Enontekiö Kilpisjärvi kyläkeskus,102016,69.03905,20.81379
Enontekiö Kilpisjärvi Saana,102017,69.04277,20.85091
Enontekiö Näkkälä,102019,68.60301,23.57595
Inari Angeli Lintupuoliselkä,102026,68.90296,25.73646
Inari Ivalo lentoasema,102033,68.61336,27.4189
Utsjoki Kevo,102035,69.75637,27.00678
Utsjoki Nuorgam,102036,70.08203,27.8965
Inari Väylä,102042,69.07219,27.4925
Inari Kaamanen,102047,69.14089,27.26567
Inari Nellim,102052,68.84928,28.29911
Inari Kirakkajärvi,102055,69.5825,28.89409
Järvenpää Sorto,103786,60.49825,25.06755
Mäntsälä Hirvihaara,103794,60.62773,25.19342
Helsinki Vuosaari Käärmeniementie,103943,60.21935,25.17268
Lahti Sopenkorpi,104796,60.97465,25.6202
Sipoo Itätoukki,105392,60.10121,25.19439
Rauma Pyynpää,105427,61.13658,21.51518
Muonio Oustajärvi,106435,67.94823,23.70782
Pyhtää lentokenttä,107029,60.48595,26.59209
Sotkamo Tuhkakylä,107113,63.99618,28.05972
Tervola Loue,107201,66.15352,24.99031
Maarianhamina Lotsberget,107383,60.08764,19.93546
Savukoski Tulppio,107565,67.7687,29.21102
Inkoo Jakobramsjö,108020,59.99464,23.9956
Oulu Kaukovainio,108040,64.99685,25.52233
Kajaani Petäisenniska,126736,64.21678,27.75194
Utsjoki Kevo Kevojärvi,126737,69.757,27.012
Inari Seitalaassa,129963,69.04853,27.757
Ilmajoki Seinäjoki lentoasema,137188,62.68571,22.84272
Rovaniemi lentoasema AWOS,137190,66.57276,25.84848
Jyväskylä lentoasema AWOS,137208,62.39332,25.68862
Puumala kirkonkylä,150168,61.52242,28.18491
Helsinki Vuosaari satama,151028,60.20867,25.1959
Maarianhamina Länsisatama,151029,60.09136,19.9291
Lumparland Långnäs satama,151048,60.11584,20.29765
Kittilä Lompolonvuoma,778135,67.99746,24.20955
Kuusamo Ruka Talvijärvi,806428,66.1716,29.13646
Espoo Nuuksio,852678,60.29128,24.56782
Mikkeli Lentoasema AWOS,855522,61.68751,27.20671
Espoo Tapiola,874863,60.17797,24.78743
