year,month,day_of_month,day_of_week,total_trains_on_route,total_schedules_by_day,avg_stops_per_train,cancelled_trains_by_day,cancelled_stops_by_day,delay_count_by_day,delay_rate,delay_count_arrivals,delay_count_departures,max_delay_minutes,avg_delay_minutes,median_delay_minutes,delays_5_15min,delays_15_30min,delays_30_60min,delays_over_60min,first_stop_delay_count,delay_propagation_ratio,delay_count_by_train_type,top_10_common_delays,rolling_delay_rate_7d
2024,2,11,7,174,15490,89.02,6,320,7574,0.489,3784,3790,164,31.15,17.0,3163,1836,1472,1103,46,0.0119,"{""IC"": 6018, ""S"": 1077, ""PYO"": 341, ""HDM"": 138}","[5, 9, 8, 6, 7, 10, 12, 11, 17, 15]",0.3906
2024,2,12,1,201,17392,86.53,198,17312,52,0.003,26,26,59,41.6,48.0,10,0,42,0,2,0.0302,"{""HDM"": 10, ""MV"": 42}","[48, 13, 50, 46, 49, 47, 14, 44, 51, 12]",0.3602
2024,2,13,2,241,20684,85.83,207,17842,2046,0.0989,1027,1019,165,46.74,37.0,343,377,812,514,18,0.0135,"{""MV"": 2046}","[5, 9, 41, 34, 16, 51, 33, 6, 7, 24]",0.3245
2024,2,14,3,214,17976,84.0,77,4866,8824,0.4909,4426,4398,274,37.92,21.0,3313,1937,1980,1594,41,0.0102,"{""IC"": 6975, ""S"": 1098, ""PYO"": 369, ""HDM"": 151, ""MV"": 231}","[5, 6, 7, 8, 10, 9, 11, 13, 12, 15]",0.3442
2024,2,15,4,207,17638,85.21,46,2222,8615,0.4884,4314,4301,170,21.68,14.0,4553,2448,1112,502,57,0.0135,"{""IC"": 7222, ""S"": 868, ""PYO"": 153, ""HDM"": 239, ""MV"": 133}","[5, 6, 10, 9, 7, 8, 11, 14, 12, 13]",0.363
2024,2,16,5,220,19260,87.55,34,1492,10824,0.562,5414,5410,120,26.63,19.0,4283,3120,2428,993,49,0.0115,"{""IC"": 7936, ""S"": 1693, ""PYO"": 453, ""HDM"": 168, ""MV"": 574}","[5, 6, 7, 9, 8, 11, 10, 12, 13, 19]",0.369
2024,2,17,6,177,16080,90.85,28,1022,8540,0.5311,4273,4267,199,28.4,20.0,3404,2134,1975,1027,35,0.0129,"{""IC"": 6783, ""S"": 1119, ""PYO"": 440, ""HDM"": 184, ""MV"": 14}","[5, 6, 8, 7, 9, 10, 15, 11, 33, 16]",0.3805
2024,2,18,7,175,15710,89.77,15,512,7681,0.4889,3843,3838,163,23.32,14.0,3891,1745,1550,495,43,0.0139,"{""IC"": 5945, ""S"": 1267, ""PYO"": 141, ""HDM"": 146, ""MV"": 182}","[5, 6, 7, 8, 9, 10, 13, 14, 11, 12]",0.3805
2024,2,19,1,202,17442,86.35,18,608,6539,0.3749,3289,3250,67,15.83,11.0,4199,1382,844,114,31,0.0183,"{""IC"": 5190, ""S"": 1037, ""PYO"": 122, ""HDM"": 165, ""MV"": 25}","[5, 6, 7, 8, 9, 10, 11, 13, 12, 14]",0.4336
2024,2,20,2,206,17644,85.65,17,540,7160,0.4058,3588,3572,88,18.69,13.0,4005,1742,1210,203,33,0.0156,"{""IC"": 5962, ""S"": 845, ""PYO"": 145, ""HDM"": 83, ""MV"": 125}","[5, 7, 6, 8, 9, 14, 15, 10, 16, 11]",0.4774
2024,2,21,3,206,17472,84.82,19,598,8060,0.4613,4041,4019,120,19.34,14.0,4207,2617,927,309,33,0.0148,"{""IC"": 6600, ""S"": 1129, ""PYO"": 141, ""HDM"": 157, ""MV"": 33}","[5, 6, 7, 14, 8, 15, 9, 10, 13, 12]",0.4732
2024,2,22,4,204,17386,85.23,17,540,6476,0.3725,3254,3222,78,13.51,11.0,4069,2074,320,13,29,0.0218,"{""IC"": 5749, ""S"": 462, ""PYO"": 81, ""HDM"": 149, ""MV"": 35}","[5, 6, 7, 8, 9, 10, 11, 15, 12, 16]",0.4566
2024,2,23,5,213,18590,87.28,29,1282,7747,0.4167,3884,3863,289,23.66,12.0,4538,1911,732,566,29,0.0145,"{""IC"": 6255, ""S"": 1008, ""PYO"": 274, ""HDM"": 177, ""MV"": 33}","[5, 6, 7, 8, 10, 9, 11, 12, 13, 19]",0.4359
2024,2,24,6,176,16096,91.45,20,682,4087,0.2539,2051,2036,55,11.92,9.0,2948,970,169,0,9,0.0267,"{""IC"": 3471, ""S"": 514, ""PYO"": 76, ""HDM"": 26}","[5, 6, 7, 8, 9, 11, 10, 12, 18, 19]",0.3963
2024,2,25,7,172,15518,90.22,25,1264,5290,0.3409,2643,2647,125,17.65,13.0,3190,1563,367,170,16,0.0164,"{""IC"": 4488, ""S"": 699, ""PYO"": 38, ""HDM"": 65}","[5, 6, 13, 7, 14, 12, 16, 10, 8, 11]",0.3751
2024,2,26,1,206,18062,87.68,27,914,4691,0.2597,2363,2328,83,12.5,9.0,3562,936,77,116,19,0.0254,"{""IC"": 3198, ""S"": 1173, ""PYO"": 10, ""HDM"": 87, ""MV"": 223}","[5, 6, 7, 8, 9, 10, 12, 11, 15, 13]",0.3587
2024,2,27,2,207,17994,86.93,31,1014,4768,0.265,2395,2373,77,14.72,10.0,3351,874,503,40,8,0.0229,"{""IC"": 3729, ""S"": 875, ""PYO"": 59, ""HDM"": 88, ""MV"": 17}","[5, 6, 8, 7, 9, 10, 12, 11, 13, 14]",0.3386
